Title,URL,Description,Regulation Number,Sector,Sub Sector,Regulation Type,Year,status
Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka dan Aktivitas Menjaminkan Saham Perusahaan Terbuka,/id/regulasi/Pages/POJK-4-Tahun-2024-Laporan-Kepemilikan-atau-Setiap-Perubahan-Kepemilikan-Saham-Perusahaan-Terbuka-dan-Aktivitas-Menjaminkan.aspx,Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 4 Tahun 2024 tentang Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka dan Aktivitas Menjaminkan Saham Perusahaan Terbuka,4 Tahun 2024,Pasar Modal,Peraturan Lainnya,Peraturan OJK,2024,Success
Penyelenggaraan Inovasi Teknologi Sektor Keuangan,/id/regulasi/Pages/POJK-3-2024-Penyelenggaraan-Inovasi-Teknologi-Sektor-Keuangan.aspx,Peraturan Otoritas Jasa Keuangan Nomor 3 Tahun 2024 tentang Penyelenggaraan Inovasi Teknologi Sektor Keuangan.,3 Tahun 2024,IKNB,Peraturan Lainnya,Peraturan OJK,2024,Success
Penerapan Tata Kelola Syariah Bagi Bank Umum Syariah dan Unit Usaha Syariah,/id/regulasi/Pages/POJK-2-Tahun-2024-Penerapan-Tata-Kelola-Syariah-Bagi-Bank-Umum-Syariah-dan-Unit-Usaha-Syariah.aspx,Peraturan Otoritas Jasa Keuangan Nomor 2 Tahun 2024 tentang Penerapan Tata Kelola Syariah Bagi Bank Umum Syariah dan Unit Usaha Syariah.,2 Tahun 2024,Perbankan,"Bank Umum, Perbankan Syariah",Peraturan OJK,2024,Success
Kualitas Aset Bank Perekonomian Rakyat,/id/regulasi/Pages/Kualitas-Aset-Bank-Perekonomian-Rakyat.aspx,​Peraturan Otoritas Jasa Keuangan Nomor 1 Tahun 2024 Tentang Kualitas Aset Bank Perekonomian Rakyat.,1 Tahun 2024,Perbankan,BPR,Peraturan OJK,2024,Success
Penerapan Manajemen Risiko Bagi Bank Umum Syariah dan Unit Usaha Syariah,/id/regulasi/Pages/Penerapan-Manajemen-Risiko-Bagi-Bank-Umum-Syariah-dan-Unit-Usaha-Syariah.aspx,Surat Edaran Otoritas Jasa Keuangan Nomor 25/SEOJK.03/2023 tentang Penerapan Manajemen Risiko bagi Bank Umum Syariah dan Unit Usaha Syariah​.,25/SEOJK.03/2023,Perbankan,"Bank Umum, Perbankan Syariah",Surat Edaran OJK,2024,Success
Laporan Keuangan Bulanan Badan Penyelenggara Jaminan Sosial dan Laporan Keuangan Bulanan Dana Jaminan Sosial,/id/regulasi/Pages/Laporan-Keuangan-Bulanan-Badan-Penyelenggara-Jaminan-Sosial-dan-Laporan-Keuangan-Bulanan-Dana-Jaminan-Sosial.aspx,Surat Edaran Otoritas Jasa Keuangan 22/SEOJK.05/2023​ Tentang Laporan Keuangan Bulanan Badan Penyelenggara Jaminan Sosial Dan Laporan Keuangan Bulanan Dana Jaminan Sosial.,22/SEOJK.05/2023,IKNB,Peraturan Lainnya,Surat Edaran OJK,2024,Success
Penetapan Status dan Tindak Lanjut Pengawasan Bank Perekonomian Rakyat dan Bank Perekonomian Rakyat Syariah,/id/regulasi/Pages/POJK-28-Tahun-2023-Penetapan-Status-dan-Tindak-Lanjut-Pengawasan-BPR-dan-BPRS.aspx,​​Peraturan Otoritas Jasa Keuangan Nomor 28 Tahun 2023 Te​ntang Penetapan Status dan Tindak Lanjut Pengawasan Bank Perkreditan Rakyat dan Bank Pembiayaan Rakyat Syariah​.,28 Tahun 2023,Perbankan,"BPR, Perbankan Syariah",Peraturan OJK,2023,Success
Pengomunikasian Hal Audit Utama Dalam Laporan Akuntan Publik Atas Laporan Keuangan Yang Diaudit di Pasar Modal,/id/regulasi/Pages/Pengomunikasian-Hal-Audit-Utama-Dalam-Laporan-Akuntan-Publik-Atas-Laporan-Keuangan-Yang-Diaudit-di-Pasar-Modal.aspx,​Peraturan Otoritas Jasa Keuangan Nomor 30 Tahun 2023 Pengomunikasian Hal Audit Utama Dalam Laporan Akuntan Publik Atas Laporan Keuangan Yang Diaudit di Pasar Modal​.,30 Tahun 2023,Pasar Modal,Peraturan Lainnya,Peraturan OJK,2023,Success
Pembelian Kembali Saham yang Dikeluarkan oleh Perusahaan Terbuka ,/id/regulasi/Pages/Pembelian-Kembali-Saham-yang-Dikeluarkan-oleh-Perusahaan-Terbuka-.aspx,​Peraturan Otoritas Jasa Keuangan​ Nomor 29 Tahun 2023 Pembelian Kembali Saham Yang Dikeluarkan oleh Perusahaan Terbuka.,29 Tahun 2023,Pasar Modal,Peraturan Lainnya,Peraturan OJK,2023,Success
Penyelenggaraan Usaha Dana Pensiun,/id/regulasi/Pages/Penyelenggaraan-Usaha-Dana-Pensiun.aspx,Peraturan Otoritas Jasa Keuangan Nomor 27 Tahun 2023  Tentang Penyelenggaraan Usaha Dana Pensiun.,27 Tahun 2023,IKNB,Dana Pensiun,Peraturan OJK,2023,Success
Pengguna Standar Akuntansi Keuangan Internasional di Pasar Modal,/id/regulasi/Pages/Pengguna-Standar-Akuntansi-Keuangan-Internasional-di-Pasar-Modal.aspx,Peraturan Otoritas Jasa Keuangan Nomor 26 Tahun 2023 tentang Pengguna Standar Akuntansi Keuangan Internasional di Pasar Modal.,26 Tahun 2023,Pasar Modal,Peraturan Lainnya,Peraturan OJK,2023,Success
Penyelenggaraan Usaha Perusahaan Modal Ventura dan Perusahaan Modal Ventura Syariah,/id/regulasi/Pages/Penyelenggaraan-Usaha-Perusahaan-Modal-Ventura-dan-Perusahaan-Modal-Ventura-Syariah.aspx,​​Peraturan Otoritas Jasa Keuangan Nomor 25 Tahun 2023 tentang ​Penyelenggaraan Usaha Perusahaan Modal Ventura dan Perusahaan Modal Ventura Syariah.,25 Tahun 2023,IKNB,"IKNB Syariah, Lembaga Pembiayaan, Peraturan Lainnya",Peraturan OJK,2023,Success
"Perizinan Usaha dan Kelembagaan Perusahaan Pialang Asuransi, Perusahaan Pialang Reasuransi, dan Perusahaan Penilai Kerugian","/id/regulasi/Pages/Perizinan-Usaha-dan-Kelembagaan-Perusahaan-Pialang-Asuransi,-Perusahaan-Pialang-Reasuransi,-dan-Perusahaan-Penilai-Kerugian.aspx","Peraturan Otoritas Jasa Keuangan Nomor 24 Tahun 2023 Tentang Perizinan Usaha dan Kelembagaan Perusahaan Pialang Asuransi, Perusahaan Pialang Reasuransi, dan Perusahaan Penilai Kerugian​.",24 Tahun 2023,IKNB,"Asuransi, Peraturan Lainnya",Peraturan OJK,2023,Success
"Perizinan Usaha Dan Kelembagaan Perusahaan Asuransi, Perusahaan Asuransi Syariah, Perusahaan Reasuransi, Dan Perusahaan Reasuransi Syariah","/id/regulasi/Pages/Perizinan-Usaha-dan-Kelembagaan-Perusahaan-Asuransi,-Asuransi-Syariah,-Reasuransi,-dan-Reasuransi-Syariah.aspx","Peraturan Otoritas Jasa Keuangan Nomor 23 Tahun 2023 Tentang Perizinan Usaha Dan Kelembagaan Perusahaan Asuransi, Perusahaan Asuransi Syariah, Perusahaan Reasuransi, Dan Perusahaan Reasuransi Syariah",23 Tahun 2023,IKNB,"IKNB Syariah, Asuransi, Peraturan Lainnya",Peraturan OJK,2023,Success
Pelindungan Konsumen dan Masyarakat di Sektor Jasa Keuangan,/id/regulasi/Pages/Pelindungan-Konsumen-dan-Masyarakat-di-Sektor-Jasa-Keuangan.aspx,Peraturan Otoritas Jasa Keuangan (POJK) Nomor 22 Tahun 2023 tentang Pelindungan Konsumen dan Masyarakat di Sektor Jasa Keuangan.,22 Tahun 2023,EPK,Peraturan Lainnya,Peraturan OJK,2023,Success
Layanan Digital oleh Bank Umum,/id/regulasi/Pages/Layanan-Digital-oleh-Bank-Umum.aspx,Peraturan Otoritas Jasa Keuangan Nomor 21 Tahun 2023 tentang ​Layanan Digital oleh Bank Umum.,21 Tahun 2023,Perbankan,Bank Umum,Peraturan OJK,2023,Success
Penilaian Tingkat Maturitas Digital Bank Umum,/id/regulasi/Pages/Penilaian-Tingkat-Maturitas-Digital-Bank-Umum.aspx,Surat Edaran Otoritas Jasa Keuangan 24/SEOJK.03/2023 Tentang Penilaian Tingkat Maturitas Digital Bank Umum​,24/SEOJK.03/2023,Perbankan,Bank Umum,Surat Edaran OJK,2023,Success
Produk Asuransi yang Dikaitkan dengan Kredit atau Pembiayaan Syariah dan Produk Suretyship atau Suretyship Syariah,/id/regulasi/Pages/Produk-Asuransi-yang-Dikaitkan-dengan-Kredit-atau-Pembiayaan-Syariah-dan-Produk-Suretyship-atau-Suretyship-Syariah.aspx,Peraturan Otoritas Jasa Keuangan Nomor 20 Tahun 2023 Tentang Produk Asuransi Yang Dikaitkan Dengan Kredit Atau Pembiayaan Syariah Dan Produk Suretyship Atau Suretyship Syariah.,20 Tahun 2023,IKNB,"IKNB Syariah, Asuransi",Peraturan OJK,2023,Success
"Penilaian Kemampuan dan Kepatutan bagi Pihak Utama Perusahaan Perasuransian, Lembaga Penjamin, dan Dana Pensiun","/id/regulasi/Pages/Penilaian-Kemampuan-dan-Kepatutan-bagi-Pihak-Utama-Perusahaan-Perasuransian,-Lembaga-Penjamin,-dan-Dana-Pensiun.aspx","​Surat Edaran Otoritas Jasa Keuangan Nomor ​23/SEOJK.05/2023 tentang Penilaian Kemampuan dan Kepatutan bagi Pihak Utama Perusahaan Perasuransian, Lembaga Penjamin, dan Dana Pensiun​.",23/SEOJK.05/2023,IKNB,"Asuransi, Dana Pensiun, Lembaga Kliring dan Penjaminan, Peraturan Lainnya",Surat Edaran OJK,2023,Success
"Perubahan Atas Surat Edaran Otoritas Jasa Keuangan Nomor 25/SEOJK.05/2020 tentang Bentuk dan Susunan Laporan Berkala Perusahaan Pialang Asuransi, Perusahaan Pialang Reasuransi, dan Perusahaan Penilai Kerugian Asuransi",/id/regulasi/Pages/Bentuk-dan-Susunan-Laporan-Berkala-Perusahaan-Pialang-Asuransi-Pialang-Reasuransi-dan-Penilai-Kerugian-Asuransi.aspx,"SEOJK Nomor 21/SEOJK.05/2023 Tentang Perubahan Atas SEOJK Nomor 25/SEOJK.05/2020 Tentang Bentuk Dan Susunan Laporan Berkala Perusahaan Pialang Asuransi, Perusahaan Pialang Reasuransi, Dan Perusahaan Penilai Kerugian Asuransi.",21/SEOJK.05/2023,IKNB,"Asuransi, Peraturan Lainnya",Surat Edaran OJK,2023,Need to sign in
"Permohonan Perizinan, Persetujuan, dan Pelaporan Secara Elektronik bagi Perusahaan Pembiayaan dan Perusahaan Pembiayaan Syariah","/id/regulasi/Pages/Permohonan-Perizinan,-Persetujuan,-dan-Pelaporan-Secara-Elektronik-bagi-Perusahaan-Pembiayaan-dan-Perusahaan-Pembiayaan.aspx","​Surat Edaran Otoritas Jasa Keuangan Republik Indonesia Nomor 20/SEOJK.06/2023 tentang Permohonan Perizinan, Persetujuan, dan Pelaporan Secara Elektronik bagi Perusahaan Pembiayaan dan Perusahaan Pembiayaan Syariah.",20/SEOJK.06/2023,IKNB,"Lembaga Pembiayaan, Peraturan Lainnya",Surat Edaran OJK,2023,Success
Penyelenggaraan Layanan Pendanaan Bersama Berbasis Teknologi Informasi (LPBBTI),/id/regulasi/Pages/Penyelenggaraan-Layanan-Pendanaan-Bersama-Berbasis-Teknologi-Informasi-(LPBBTI).aspx,​Surat Edaran Otoritas Jasa Keuangan Republik Indonesia Nomor 19/SEOJK.06/2023 tentang Penyelenggaraan Layanan Pendanaan Bersama Berbasis Teknologi Informasi.,19/SEOJK.06/2023,IKNB,Peraturan Lainnya,Surat Edaran OJK,2023,Success
Tata Cara Penggunaan Jasa Akuntan Publik dan Kantor Akuntan Publik dalam Kegiatan Jasa Keuangan,/id/regulasi/Pages/Tata-Cara-Penggunaan-Jasa-Akuntan-Publik-dan-Kantor-Akuntan-Publik-dalam-Kegiatan-Jasa-Keuangan.aspx,​Surat Edaran Otoritas Jasa Keuangan Nomor 18/SEOJK.03/2023 tentang Tata Cara Penggunaan Jasa Akuntan Publik dan Kantor Akuntan Publik dalam Kegiatan Jasa Keuangan.,18/SEOJK.03/2023,Perbankan,Peraturan Lainnya,Surat Edaran OJK,2023,Success
Pengembangan Kualitas Sumber Daya Manusia Bank Perekonomian Rakyat dan Bank Perekonomian Rakyat Syariah,/id/regulasi/Pages/Pengembangan-Kualitas-Sumber-Daya-Manusia-Bank-Perekonomian-Rakyat-dan-Bank-Perekonomian-Rakyat-Syariah-(POJK-19-Tahu-2023).aspx,Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 19 Tahun 2023 Tentang Pengembangan Kualitas Sumber Daya Manusia Bank Perekonomian Rakyat dan Bank Perekonomian Rakyat Syariah.,19 Tahun 2023,Perbankan,"BPR, Perbankan Syariah",Peraturan OJK,2023,Success
Persyaratan Margin untuk Transaksi Derivatif yang Tidak Dikliringkan melalui Lembaga Central Counterparty,/id/regulasi/Pages/Persyaratan-Margin-untuk-Transaksi-Derivatif-yang-Tidak-Dikliringkan--melalui-Lembaga-Central-Counterparty.aspx,​Surat Edaran Otoritas Jasa Keuangan Nomor 17/SEOJK.03/2023 ​tentang Persyaratan Margin untuk Transaksi Derivatif yang Tidak Dikliringkan melalui Lembaga Central Counterparty.,17/SEOJK.03/2023,Perbankan,Bank Umum,Surat Edaran OJK,2023,Success
Perhitungan Permodalan Untuk Eksposur Bank Terhadap Lembaga Central Counterparty,/id/regulasi/Pages/Perhitungan-Permodalan-Untuk-Eksposur-Bank-Terhadap-Lembaga-Central-Counterparty.aspx,​Surat Edaran Otoritas Jasa Keuangan Nomor 16/SEOJK.03/2023​ tentang Perhitungan Permodalan untuk Eksposur Bank Terhadap Lembaga Central Counterparty.,16/SEOJK.03/2023,Perbankan,Bank Umum,Surat Edaran OJK,2023,Success
Penerbitan dan Persyaratan Efek Bersifat Utang dan Sukuk Berlandaskan Keberlanjutan,/id/regulasi/Pages/Penerbitan-dan-Persyaratan-Efek-Bersifat-Utang-dan-Sukuk-Berlandaskan-Keberlanjutan-POJK-18-Tahun-2023.aspx,​Peraturan Otoritas Jasa Keuangan Nomor 18 Tahun 2023​ tentang Penerbitan dan Persyaratan Efek Bersifat Utang dan Sukuk Berlandaskan Keberlanjutan.,18 Tahun 2023,Pasar Modal,Peraturan Lainnya,Peraturan OJK,2023,Success
Laporan Pengelolaan Program Jaminan Kesehatan Bulanan Bagi Badan Penyelenggara Jaminan Sosial Kesehatan,/id/regulasi/Pages/Laporan-Pengelolaan-Program-Jaminan-Kesehatan-Bulanan-Bagi-Badan-Penyelenggara-Jaminan-Sosial-Kesehatan.aspx,​Surat Edaran Otoritas Jasa Keuangan Nomor 15/SEOJK.05/2023​ tentang Laporan Bulanan Pengelolaan Program Jaminan Kesehatan Bagi Badan Penyelenggara Jaminan Sosial Kesehatan,15/SEOJK.05/2023,IKNB,Peraturan Lainnya,Surat Edaran OJK,2023,Success
Tata Cara Wawancara Atas Kemampuan dan Kepatutan Calon Pengurus dan Calon Pengawas Lembaga Alternatif Penyelesaian Sengketa Sektor Jasa Keuangan,/id/regulasi/Pages/Tata-Cara-Wawancara-Atas-Kemampuan-dan-Kepatutan-Calon-Pengurus-dan-Calon-Pengawas-Lembaga-Alternatif-Penyelesaian-Sengketa.aspx,​Surat Edaran Otoritas Jasa Keuangan Nomor 14/SEOJK.08/2023​ tentang Tata Cara Wawancara atas Kemampuan dan Kepatutan Calon Pengurus dan Calon Pengawas Lembaga Alternatif Penyelesaian Sengketa Sektor Jasa Keuangan,14/SEOJK.08/2023,EPK,Peraturan Lainnya,Surat Edaran OJK,2023,Success
Penerapan Tata Kelola Bagi Bank Umum,/id/regulasi/Pages/Penerapan-Tata-Kelola-Bagi-Bank-Umum.aspx,Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 17 Tahun 2023 tentang Penerapan Tata Kelola Bagi Bank Umum.,17 Tahun 2023,Perbankan,Bank Umum,Peraturan OJK,2023,Success
Pembelian Kembali Saham Perusahaan Terbuka Sebagai Akibat Dibatalkannya Pencatatan Efek oleh Bursa Efek Karena Kondisi atau Peristiwa yang Signifikan Berpengaruh Negatif Terhadap Kelangsungan Usaha,/id/regulasi/Pages/Pembelian-Kembali-Saham-Perusahaan-Terbuka-Sebagai-Akibat-Dibatalkannya-Pencatatan-Efek-oleh-Bursa-Efek-SEOJK-13-04-2023.aspx,SEOJK Nomor 13/SEOJK.04/2023 tentang tentang Pembelian Kembali Saham Perusahaan Terbuka Sebagai Akibat Dibatalkannya Pencatatan Efek oleh Bursa Efek Karena Kondisi atau Peristiwa yang Signifikan Berpengaruh Negatif Terhadap Kelangsungan Usaha.,13/SEOJK.04/2023,Pasar Modal,Peraturan Lainnya,Surat Edaran OJK,2023,Success
Tata Cara Penyelenggaraan Perdagangan Karbon Melalui Bursa Karbon ,/id/regulasi/Pages/Tata-Cara-Penyelenggaraan-Perdagangan-Karbon-Melalui-Bursa-Karbon-.aspx,Surat Edaran Otoritas Jasa Keuangan​​ Republik Indonesia Nomor 12/SEOJK.04/2023 tentang Tata Cara Penyelenggaraan Perdagangan Karbon Melalui Bursa Karbon.,12/SEOJK.04/2023,Pasar Modal,Peraturan Lainnya,Surat Edaran OJK,2023,Success
Batas Maksimum Pemberian Kredit BPR dan Batas Maksimum Penyaluran Dana BPRS,/id/regulasi/Pages/Batas-Maksimum-Pemberian-Kredit-BPR-dan-Batas-Maksimum-Penyaluran-Dana-BPRS.aspx,​Surat Edaran Otoritas Jasa Keuangan Nomor 11/SEOJK.03/2023 Tentang Batas Maksimum Pemberian Kredit Bank Perekonomian Rakyat dan Batas Maksimum Penyaluran Dana Bank Perekonomian Rakyat Syariah,11/SEOJK.03/2023,Perbankan,"BPR, Perbankan Syariah",Surat Edaran OJK,2023,Success
Penyelenggaraan Layanan Administrasi Prinsip Mengenali Nasabah,/id/regulasi/Pages/POJK-Nomor-15-Tahun-2023-tentang-Penyelenggaraan-Layanan-Administrasi-Prinsip-Mengenali-Nasabah.aspx,Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 15 Tahun 2023 tentang Penyelenggaraan Layanan Administrasi Prinsip Mengenali Nasabah.,15 Tahun 2023,Pasar Modal,Peraturan Lainnya,Peraturan OJK,2023,Success
Penyidikan Tindak Pidana di Sektor Jasa Keuangan,/id/regulasi/Pages/Penyidikan-Tindak-Pidana-di-Sektor-Jasa-Keuangan-(POJK-Penyidikan).aspx,Peraturan Otoritas Jasa Keuangan Nomor 16 Tahun 2023 tentang Penyidikan Tindak Pidana di Sektor Jasa Keuangan (POJK Penyidikan).,16 Tahun 2023,"Perbankan, Pasar Modal, IKNB, Syariah, EPK",Peraturan Lainnya,Peraturan OJK,2023,Success
Perdagangan Karbon Melalui Bursa Karbon,/id/regulasi/Pages/Perdagangan-Karbon-Melalui-Bursa-Karbon.aspx,Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 14 Tahun 2023 ​Tentang Perdagangan Karbon Melalui Bursa Karbon,14 Tahun 2023,Pasar Modal,Peraturan Lainnya,Peraturan OJK,2023,Success
Penyelenggaraan Produk Bank Perekonomian Rakyat Syariah,/id/regulasi/Pages/Penyelenggaraan-Produk-Bank-Perekonomian-Rakyat-Syariah.aspx,Surat Edaran Otoritas Jasa Keuangan Republik Indonesia Nomor 10/SEOJK.03/2023 Tentang Penyelenggaraan Produk Bank Perekonomian Rakyat Syariah.,10/SEOJK.03/2023,"Perbankan, Syariah",Perbankan Syariah,Surat Edaran OJK,2023,Success
Kebijakan dalam Menjaga Kinerja dan Stabilitas Pasar Modal dalam Kondisi Pasar yang Berfluktuasi secara Signifikan,/id/regulasi/Pages/Kebijakan-dalam-Menjaga-Kinerja-dan-Stabilitas-Pasar-Modal-dalam-Kondisi-Pasar-yang-Berfluktuasi-secara-Signifikan.aspx,​Peraturan Otoritas Jasa Keuangan 13 Tahun 2023 Tentang Kebijakan dalam Menjaga Kinerja dan Stabilitas Pasar Modal Pada Kondisi Pasar yang Berfluktuasi secara Signifikan.,13 Tahun 2023,Pasar Modal,Peraturan Lainnya,Peraturan OJK,2023,Success
Unit Usaha Syariah,/id/regulasi/Pages/Peraturan-Otoritas-Jasa-Keuangan-Nomor-12-Tahun-2023-tentang-Unit-Usaha-Syariah-(POJK-UUS).aspx,​Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 12 Tahun 2023 tentang Unit Usaha Syariah (POJK UUS).,12 Tahun 2023,"Perbankan, Syariah","Perbankan Syariah, Peraturan Lainnya",Peraturan OJK,2023,Success
Pemisahan Unit Syariah Perusahaan Asuransi dan Perusahaan Reasuransi,/id/regulasi/Pages/Pemisahan-Unit-Syariah-Perusahaan-Asuransi-dan-Perusahaan-Reasuransi-(POJK-11-Tahun-2023).aspx,​Peraturan Otoritas Jasa Keuangan Nomor 11 Tahun 2023 tentang Pemisahan Unit Syariah Perusahaan Asuransi dan Perusahaan Reasuransi (POJK 11 Tahun 2023).,11 Tahun 2023,IKNB,Asuransi,Peraturan OJK,2023,Success
Pemisahan Unit Usaha Syariah Perusahaan Penjaminan,/id/regulasi/Pages/Pemisahan-Unit-Usaha-Syariah-Perusahaan-Penjaminan.aspx,​Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 10 Tahun 2023 tentang Pemisahan Unit Usaha Syariah Perusahaan Penjaminan (POJK 10 Tahun 2023).,10 Tahun 2023,IKNB,"IKNB Syariah, Lembaga Kliring dan Penjaminan, Peraturan Lainnya",Peraturan OJK,2023,Success
Peraturan Penggunaan Jasa Akuntan Publik dan Kantor Akuntan Publik dalam Kegiatan Jasa Keuangan,/id/regulasi/Pages/Peraturan-Penggunaan-Jasa-Akuntan-Publik-dan-Kantor-Akuntan-Publik-dalam-Kegiatan-Jasa-Keuangan.aspx,​​Peraturan Otoritas Jasa Keuangan Republik Indonesia Nomor 9 Tahun 2023 Tentang Penggunaan Jasa Akuntan Publik dan Kantor Akuntan Publik dalam Kegiatan Jasa Keuangan.,9 Tahun 2023,"Perbankan, Pasar Modal, IKNB",Peraturan Lainnya,Peraturan OJK,2023,Success
"Penerapan Program Anti Pencucian Uang, Pencegahan Pendanaan Terorisme, dan Pencegahan Pendanaan Proliferasi Senjata Pemusnah Massal di Sektor Jasa Keuangan",/id/regulasi/Pages/POJK-APU-PPT-dan-PPPSPM-di-SJK.aspx,"​POJK Republik Indonesia Nomor 8 Tahun 2023 Tentang Penerapan Program Anti Pencucian Uang, Pencegahan Pendanaan Terorisme, dan Pencegahan Pendanaan Proliferasi Senjata Pemusnah Massal di Sektor Jasa Keuangan​.",8 Tahun 2023,"Perbankan, Pasar Modal, IKNB, Syariah, EPK",Peraturan Lainnya,Peraturan OJK,2023,Success
